TC ID,Test type,Test case Name,Description,Actions,Expected Results,Test Repository Path,Status,User story,Priority
EZ-1383_TC_017,Manual,Deductibles Percent - Scenario 13,Verify BI with Days (TD) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (TD) and apply Deduct % value to BI
5. Observe TE Deductible","TE Deductible populates with Deduct % value; PD Deductible empty per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_018,Manual,Deductibles Percent - Scenario 14,Verify TD with 100% Deduct Value for BI,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Days (TD) and set 100% Deduct Value for BI
5. Observe DV TE Deductible","DV TE Deductible set to '100% Deduct Value' and PD Deductible empty, per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_019,Manual,Deductibles Percent - Scenario 19,Verify PD with Hours (TD) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Hours (TD) and apply Deduct % value to PD
5. Observe PD and TE deductibles","PD Deductible populates with Deduct % value; TE Deductible empty as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_020,Manual,Deductibles Percent - Scenario 20,Verify Hours (TD) with 100% Deduct Value for PD,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Hours (TD) and set 100% Deduct Value
5. Observe TE Hours Deductible","TE Hours Deductible empty and PD Deductible set to '100% Deduct Value' per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_021,Manual,Deductibles Percent - Scenario 21,Verify BI with Hours (TD) and Deduct % value,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Hours (TD) and apply Deduct % value to BI
5. Observe TE Deductible","TE Deductible populates with Deduct % value; PD Deductible empty as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_022,Manual,Deductibles Percent - Scenario 22,Verify Hours (TD) with 100% Deduct Value for BI,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Choose Hours (TD) and set 100% Deduct Value
5. Observe TE Hours Deductible","TE Hours Deductible set to '100% Deduct Value' and PD Deductible empty, per logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_023,Manual,Minimum Deductibles - Scenario 1,Verify minimum combined deductible applies when Deduct Min value set,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Set Minimum Deductible to Deduct Min value and apply to PD/BI
5. Observe combined deductible","Minimum combined deductible populates with Deduct Min value for combined coverages as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_024,Manual,Minimum Deductibles - Scenario 2,Verify minimum PD deductible and TE NCP settings,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Set Minimum Deductible to Deduct Min value for PD
5. Observe Minimum PD and TE deductible fields","Minimum PD Deductible populates with Deduct Min value; Minimum TE Deductible NCP is Unselected and Minimum TE Deductible empty, matching logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_025,Manual,Minimum Deductibles - Scenario 3,Verify BI minimum deductible and TE settings,"1. Login to EZdocs
2. Open policy
3. Select Described Causes - Flood
4. Set Minimum Deductible to Deduct Min value for BI
5. Observe Minimum PD and TE deductible fields","Minimum PD Deductible empty and Minimum TE Deductible populates with Deduct Min value; Minimum TE Deductible NCP is Unselected as specified.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_026,Manual,TimeSpecification - Scenario 1,Verify Time Specification value populates,"1. Login to EZdocs
2. Open policy
3. Navigate to Time Specification within Described Causes - Flood
4. Set Time Specification to defined value
5. Observe Time Specification fields","Time Specification fields populate with the specified Time Specification Value and occurrence as defined in logic.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
EZ-1383_TC_027,Manual,TimeSpecification - Scenario 2,Verify empty Time Specification handling,"1. Login to EZdocs
2. Open policy
3. Navigate to Time Specification within Described Causes - Flood
4. Leave Time Specification empty
5. Observe behavior","System accepts empty Time Specification and handles occurrences per default behavior; no unexpected errors occur.",/workspaces/testcase1/1_Base_Repo/User_Story/EZ-1383.doc,Not Executed,EZ-1383,Medium
